verb,follower,count
feel,?,654
feel,like,414
feel,most,413
feel,the,302
feel,about,297
feel,when,243
feel,right,213
feel,truly,157
feel,anxious,153
feel,.,151
write,about,3360
write,a,1237
write,down,662
write,out,96
write,the,56
write,them,49
write,your,43
write,three,38
write,it,36
write,an,35
make,you,2330
make,me,550
make,a,543
make,it,248
make,your,191
make,to,114
make,in,88
make,my,88
make,the,86
make,this,82
do,to,816
do,?,535
do,today,378
do,for,254
do,that,167
do,this,141
do,differently,137
do,it,130
do,in,127
do,if,125
describe,a,1264
describe,your,576
describe,the,346
describe,how,175
describe,yourself,146
describe,what,142
describe,an,98
describe,it,98
describe,you,70
describe,one,53
have,a,591
have,to,376
have,?,227
have,that,161
have,the,145
have,any,123
have,.,110
have,in,106
have,for,90
have,on,77
want,to,2092
want,your,66
want,?,52
want,my,27
want,in,24
want,more,23
want,people,22
want,,,19
want,them,19
want,the,19
reflect,on,1930
reflect,your,44
reflect,my,9
reflect,back,8
reflect,what,7
reflect,in,7
reflect,the,6
reflect,these,6
reflect,and,5
reflect,?,4
think,about,703
think,of,407
think,you,153
think,it,88
think,that,60
think,this,53
think,is,49
think,your,47
think,back,39
think,i,29
take,to,423
take,a,250
take,care,196
take,today,97
take,for,92
take,better,54
take,time,31
take,this,31
take,?,30
take,the,30
