number,word,count
10,things,114
10,years,100
30,words,1
3,favorite,3
3,things,304
3,ways,34
3,new,2
3,good,9
4,things,6
5,things,210
24,hours,27
10,times,2
5,adjectives,1
25,things,2
30,years,11
10,words,48
5,minutes,15
6,months,26
1,year,21
5,years,143
30,seconds,2
5,senses,4
3,goals,23
5,people,24
10,minutes,20
10,million,2
1,program,1
1,person,2
12,months,19
3,words,11
5,values,4
6,to,2
3,years,12
1,to,9
3,core,1
3,of,29
3,people,20
5,strengths,2
3,different,3
3,long,4
1,month,7
3,wishes,3
2025,to,1
3,most,5
5,specific,1
5,lessons,3
20,years,10
5,goals,5
10,questions,1
50,things,3
3,a,1
3,beautiful,1
50,years,4
5,accomplishments,1
5,times,3
10,unique,1
3,months,5
3,lessons,7
5,qualities,7
3,passions,2
3,or,2
5,year,3
5,ways,14
1,per,1
3,memories,1
3,qualities,4
3,thoughts,1
3,affirming,1
5,books,1
3,habits,3
20,things,6
1,Peter,6
7,says,1
3,statements,1
2024,experience,1
2025,feel,1
5,words,8
5,wins,1
30,days,4
80,years,5
3,counterintuitive,1
7,year,1
1,million,6
10,normal,2
000,magically,1
100,years,5
3,emotions,3
2,memories,2
3,fears,3
4,little,2
5,favorite,4
2,things,14
1,thing,23
10,everyday,8
5,or,14
5,positive,12
3,fictional,1
5,songs,3
10,bucket,1
10,priorities,1
3,hobbies,2
5,sentences,1
5,unassailable,1
2023,that,2
15,things,12
50,and,1
2019,are,1
2019,were,1
1,way,1
1,self,1
1,small,2
2,people,1
5,blessings,1
4,different,1
3,sounds,1
2,natural,1
2,ordinary,1
10,Things,3
5,Things,1
3,values,5
30,things,1
5,best,4
10,compliments,1
2,years,1
3,best,4
5,most,11
10,most,6
20,ways,1
5,activities,3
1,priority,1
3,biggest,20
3,skills,1
3,activities,8
10,favorite,2
3,strengths,4
10,deep,1
5,comfort,1
3,quotes,1
10,or,2
15,years,8
10,positive,10
10,if,1
2024,with,6
2025,is,1
10,what,1
3,songs,1
5,action,1
10,being,6
20,days,2
40,days,1
60,days,1
3,positive,14
15,minutes,11
3,rules,2
15,songs,1
