prompt,source url,query,published_time,modified_time,author
"I think of the work that I perform in my career or at home. I reflect on how it affects my life, including my physical and emotional wellbeing. With these thoughts in mind, I feel grateful for…",https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08T00:00:00Z,2025-06-11T00:00:00Z,"Alicia Nortje, Ph.D."
"I think of the people who are important to me. These people are my family and/or my friends. I reflect on how they affect my life and how I feel when I spend time with them. With these thoughts in mind, I am grateful for…",https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08T00:00:00Z,2025-06-11T00:00:00Z,"Alicia Nortje, Ph.D."
"I am aware of my strengths and skills, which have helped me on my path to where I am today. I feel grateful for…",https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08T00:00:00Z,2025-06-11T00:00:00Z,"Alicia Nortje, Ph.D."
"I am aware of my interests and passions, which provide me with stimulation and inspire me. I feel grateful for…",https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08T00:00:00Z,2025-06-11T00:00:00Z,"Alicia Nortje, Ph.D."
"I think of the home that I live in, and I reflect on how it provides my family and me with a safe, secure, stable place for us to live. I feel grateful for…",https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08T00:00:00Z,2025-06-11T00:00:00Z,"Alicia Nortje, Ph.D."
"I am grateful for the food that I have eaten in my life. I reflect on the meals that I have shared with friends, families, and colleagues. I am grateful for…",https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08T00:00:00Z,2025-06-11T00:00:00Z,"Alicia Nortje, Ph.D."
I am mindful of the gifts that I received for special holidays and my birthday. I am grateful for…,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08T00:00:00Z,2025-06-11T00:00:00Z,"Alicia Nortje, Ph.D."
"I think of the area where I live. I think of the shops where we buy food, the people we have met, and the experiences we have had. I feel grateful for…",https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08T00:00:00Z,2025-06-11T00:00:00Z,"Alicia Nortje, Ph.D."
I reflect on my past and all the mentors and teachers who have helped me on my path. I feel grateful for…,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08T00:00:00Z,2025-06-11T00:00:00Z,"Alicia Nortje, Ph.D."
I am mindful of my health and my body. I reflect on the times when I have enjoyed good health. I am grateful for…,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08T00:00:00Z,2025-06-11T00:00:00Z,"Alicia Nortje, Ph.D."
"I am mindful of the challenges that I have faced on my journey to where I am now. Without these challenges, I would not be who I am today. I feel grateful for…",https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08T00:00:00Z,2025-06-11T00:00:00Z,"Alicia Nortje, Ph.D."
Name three thoughts that made you smile today.,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08T00:00:00Z,2025-06-11T00:00:00Z,"Alicia Nortje, Ph.D."
Name three things that challenged you today.,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08T00:00:00Z,2025-06-11T00:00:00Z,"Alicia Nortje, Ph.D."
Name three urges that you resisted today.,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08T00:00:00Z,2025-06-11T00:00:00Z,"Alicia Nortje, Ph.D."
Name three events that made you feel productive today.,https://positivepsychology.com/journaling-for-mindfulness/,mindfulness journaling prompts,2020-07-08T00:00:00Z,2025-06-11T00:00:00Z,"Alicia Nortje, Ph.D."
